model_id,category,learning_rate,num_train_epochs,per_device_train_batch_size,num_parameters,eval_accuracy,eval_f1,eval_precision,eval_recall,test_accuracy,test_f1,test_precision,test_recall
google/vit-base-patch16-224,vit,2e-05,5,8,86567656,0.775709219858156,0.6317321688500728,0.6575757575757576,0.6078431372549019,0.7998236331569665,0.6627043090638929,0.7287581699346405,0.6076294277929155
google/vit-base-patch16-224,vit,2e-05,5,16,86567656,0.7650709219858156,0.5826771653543308,0.6654676258992805,0.5182072829131653,0.7733686067019401,0.5888,0.7131782945736435,0.5013623978201635
google/vit-base-patch16-224,vit,2e-05,10,8,86567656,0.8067375886524822,0.6775147928994083,0.7178683385579937,0.6414565826330533,0.8068783068783069,0.6821480406386068,0.7298136645962733,0.6403269754768393
google/vit-base-patch16-224,vit,2e-05,10,16,86567656,0.7934397163120568,0.6527570789865872,0.697452229299363,0.6134453781512605,0.810405643738977,0.6870451237263464,0.7375,0.6430517711171662
google/vit-base-patch16-224,vit,0.0002,5,8,86567656,0.7650709219858156,0.6314325452016689,0.6270718232044199,0.6358543417366946,0.7619047619047619,0.6229050279329609,0.6389684813753582,0.6076294277929155
google/vit-base-patch16-224,vit,0.0002,5,16,86567656,0.7828014184397163,0.6423357664233577,0.6707317073170732,0.6162464985994398,0.7980599647266314,0.6576980568011958,0.7284768211920529,0.5994550408719346
google/vit-base-patch16-224,vit,0.0002,10,8,86567656,0.726063829787234,0.5654008438818565,0.5677966101694916,0.5630252100840336,0.7530864197530864,0.5977011494252874,0.6322188449848024,0.5667574931880109
google/vit-base-patch16-224,vit,0.0002,10,16,86567656,0.7712765957446809,0.6485013623978201,0.6312997347480106,0.6666666666666666,0.763668430335097,0.631868131868132,0.6371191135734072,0.6267029972752044
openai/clip-vit-base-patch32,clip,2e-05,5,8,87457538,0.7207446808510638,0.5176110260336906,0.5709459459459459,0.4733893557422969,0.7380952380952381,0.5409582689335394,0.625,0.4768392370572207
openai/clip-vit-base-patch32,clip,2e-05,5,16,87457538,0.7411347517730497,0.5408805031446541,0.6164874551971327,0.48179271708683474,0.7442680776014109,0.546875,0.6410256410256411,0.4768392370572207
openai/clip-vit-base-patch32,clip,2e-05,10,8,87457538,0.7358156028368794,0.4983164983164983,0.6244725738396625,0.41456582633053224,0.7222222222222222,0.4688026981450253,0.6150442477876106,0.3787465940054496
openai/clip-vit-base-patch32,clip,2e-05,10,16,87457538,0.7269503546099291,0.4779661016949153,0.6051502145922747,0.3949579831932773,0.7328042328042328,0.49751243781094534,0.635593220338983,0.4087193460490463
openai/clip-vit-base-patch32,clip,0.0002,5,8,87457538,0.7083333333333334,0.5224963715529752,0.5421686746987951,0.5042016806722689,0.7054673721340388,0.5242165242165242,0.5492537313432836,0.5013623978201635
openai/clip-vit-base-patch32,clip,0.0002,5,16,87457538,0.7065602836879432,0.5139500734214391,0.5401234567901234,0.49019607843137253,0.7028218694885362,0.5108853410740203,0.546583850931677,0.47956403269754766
openai/clip-vit-base-patch32,clip,0.0002,10,8,87457538,0.7163120567375887,0.53757225433526,0.5552238805970149,0.5210084033613446,0.7098765432098766,0.5385694249649369,0.5549132947976878,0.5231607629427792
openai/clip-vit-base-patch32,clip,0.0002,10,16,87457538,0.7101063829787234,0.5335235378031383,0.5436046511627907,0.5238095238095238,0.7098765432098766,0.5385694249649369,0.5549132947976878,0.5231607629427792
google/siglip-base-patch16-224,siglip,2e-05,5,8,92885762,0.7774822695035462,0.6701708278580815,0.6311881188118812,0.7142857142857143,0.7768959435626103,0.6585695006747639,0.6524064171122995,0.6648501362397821
google/siglip-base-patch16-224,siglip,2e-05,5,16,92885762,0.7792553191489362,0.6507713884992987,0.651685393258427,0.6498599439775911,0.7883597883597884,0.6610169491525423,0.6862170087976539,0.6376021798365122
